region_id,lat,lon
Alameda,37.646558383389326,-121.88599276871055
Alpine,38.59710358627376,-119.82061609148333
Amador,38.446609582249266,-120.65167564667276
Butte,39.6665591075738,-121.60071396674024
Calaveras,38.20446480043804,-120.55467676007613
Colusa,39.17751355133273,-122.23674825341509
Contra Costa,37.91893399518619,-121.92634148953294
Del Norte,41.74275471175066,-123.89690219790853
El Dorado,38.77891132408718,-120.52505133241219
Fresno,36.75855952256403,-119.65341127331918
Glenn,39.59848588146047,-122.3920273292113
Humboldt,40.69643259094412,-123.87405180144142
Imperial,33.0399401119891,-115.36535928430733
Inyo,36.51018088495567,-117.40564863334939
Kern,35.343566171137724,-118.72905875887498
Kings,36.07496569564352,-119.81584870304872
Lake,39.09948736023088,-122.75279398316019
Lassen,40.67263695202722,-120.59329556880998
Los Angeles,34.340908870107434,-118.2210735459441
Madera,37.217834902474465,-119.76473869096674
Marin,38.071952702973,-122.71838215109312
Mariposa,37.58147956690524,-119.90595222467051
Mendocino,39.43881678025051,-123.39112121748637
Merced,37.19169256804378,-120.71844071529075
Modoc,41.58966704357528,-120.72502795159575
Mono,37.93841561194737,-118.88396516738126
Monterey,36.21688724990412,-121.23699998012877
Napa,38.50767802283815,-122.33059026854524
Nevada,39.30168882816306,-120.76953244932905
Orange,33.70282275050357,-117.7609116534033
Placer,39.06382385510723,-120.71900776655889
Plumas,40.004661930924534,-120.83795894939037
Riverside,33.74669045030838,-115.99395119711038
Sacramento,38.44905838527298,-121.3445271573997
San Benito,36.6055339342569,-121.07409646957558
San Bernardino,34.84207533761741,-116.17664809717363
San Diego,33.03572377753638,-116.73279736629874
San Francisco,37.75609711834792,-122.44092583788404
San Joaquin,37.93444121051996,-121.27167087791398
San Luis Obispo,35.38719306716569,-120.40295932936523
San Mateo,37.42223197396105,-122.32864491544488
Santa Barbara,34.72488662120097,-120.02223937729761
Santa Clara,37.231521854164555,-121.69437922523589
Santa Cruz,37.05626533981647,-122.00157273116339
Shasta,40.763662163084035,-122.04135467323829
Sierra,39.5806940984287,-120.51602387360808
Siskiyou,41.59333998897529,-122.54040581071236
Solano,38.27150825163211,-121.92965503320966
Sonoma,38.52858543392856,-122.88672242671785
Stanislaus,37.558948286580616,-120.99850212017327
Sutter,39.03427837165285,-121.69454985188176
Tehama,40.126056461797035,-122.23450531830109
Trinity,40.64915276146449,-123.11400423419562
Tulare,36.2200549804652,-118.8003741780076
Tuolumne,38.02765430993658,-119.95494969208391
Ventura,34.47088143513578,-119.07784570666313
Yolo,38.68655803291807,-121.900583573244
Yuba,39.26875430533891,-121.35180034159043
